Year;st;State; y90 ; y95 ; y99 ; y995 ; y999 ; y9999 
1921;31;New Jersey; 32.153 ; 45.771 ; 107.341 ; 165.894 ; 424.550 ; 1.320.010 
1921;32;New Mexico; 13.348 ; 25.719 ; 46.836 ; 59.929 ; 105.861 ; 383.426 
1921;33;New York; 32.944 ; 47.571 ; 136.406 ; 226.244 ; 623.541 ; 1.974.997 
1921;34;North Carolina; 13.014 ; 13.841 ; 44.229 ; 60.864 ; 148.921 ; 563.586 
1921;35;North Dakota; 13.570 ; 24.540 ; 46.728 ; 61.756 ; 109.901 ; 276.609 
1921;36;Ohio; 23.537 ; 34.861 ; 74.282 ; 116.000 ; 320.103 ; 950.594 
1921;37;Oklahoma; 13.675 ; 29.111 ; 56.791 ; 78.277 ; 186.711 ; 535.285 
1921;38;Oregon; 26.050 ; 35.780 ; 69.360 ; 100.777 ; 233.304 ; 696.238 
1921;39;Pennsylvania; 29.578 ; 40.528 ; 89.010 ; 143.357 ; 421.619 ; 1.425.880 
1921;40;Rhode Island; 29.238 ; 41.111 ; 108.315 ; 182.353 ; 551.676 ; 2.006.472 
1921;41;South Carolina; 12.796 ; 13.701 ; 41.514 ; 54.828 ; 113.467 ; 384.761 
1921;42;South Dakota; 13.654 ; 23.685 ; 47.406 ; 61.455 ; 116.582 ; 279.169 
1921;43;Tennessee; 13.106 ; 20.493 ; 53.046 ; 71.764 ; 180.364 ; 518.296 
1921;44;Texas; 14.386 ; 32.501 ; 61.243 ; 75.827 ; 178.848 ; 611.412 
1921;45;Utah; 23.095 ; 32.653 ; 63.021 ; 84.315 ; 191.933 ; 463.335 
1921;46;Vermont; 16.423 ; 31.240 ; 64.713 ; 92.584 ; 241.592 ; 731.546 
1921;47;Virginia; 13.717 ; 28.945 ; 57.969 ; 77.315 ; 190.698 ; 531.212 
1921;48;Washington; 25.326 ; 38.312 ; 66.499 ; 83.561 ; 185.734 ; 554.486 
1921;49;West Virginia; 23.193 ; 34.178 ; 66.698 ; 96.267 ; 244.137 ; 802.487 
1921;50;Wisconsin; 18.456 ; 32.151 ; 69.939 ; 98.769 ; 238.355 ; 770.361 
1921;51;Wyoming; 31.321 ; 39.776 ; 65.851 ; 88.304 ; 203.120 ; 614.623 
1922;0;United States; 34.218 ; 45.297 ; 109.322 ; 173.408 ; 506.031 ; 1.735.211 
1922;1;Alabama; 13.746 ; 14.764 ; 48.621 ; 66.471 ; 163.715 ; 500.113 
1922;3;Arizona; 23.004 ; 34.703 ; 65.652 ; 78.507 ; 165.200 ; 538.228 
1922;4;Arkansas; 14.183 ; 14.760 ; 49.676 ; 69.170 ; 165.464 ; 561.098 
1922;5;California; 37.028 ; 51.723 ; 127.667 ; 199.394 ; 504.308 ; 1.380.624 
1922;6;Colorado; 26.070 ; 38.328 ; 77.378 ; 114.762 ; 299.024 ; 1.063.007 
1922;7;Connecticut; 34.255 ; 49.928 ; 116.634 ; 195.348 ; 553.121 ; 1.643.974 
1922;8;Delaware; 32.969 ; 42.176 ; 92.235 ; 154.186 ; 500.739 ; 1.454.918 
1922;9;District of Columbia; 46.021 ; 64.704 ; 160.406 ; 262.837 ; 691.807 ; 2.066.958 
1922;10;Florida; 14.668 ; 32.944 ; 73.129 ; 108.691 ; 276.086 ; 899.587 
1922;11;Georgia; 14.003 ; 22.479 ; 53.607 ; 72.556 ; 183.891 ; 672.978 
1922;13;Idaho; 20.482 ; 32.974 ; 57.170 ; 69.179 ; 115.815 ; 366.132 
1922;14;Illinois; 33.839 ; 48.963 ; 114.754 ; 184.138 ; 514.872 ; 1.692.593 
1922;15;Indiana; 18.732 ; 34.408 ; 68.987 ; 94.905 ; 248.806 ; 824.181 
1922;16;Iowa; 24.835 ; 37.074 ; 66.909 ; 85.832 ; 202.529 ; 630.556 
